labels,sentences
1,The Hanson brothers  Andy apparently has his act together and Hank clearly doesnt have his act together need money Andy comes up with a scheme to get some dough that will have consequences for the whole Hanson family This film delivers This is a layered fullblooded roller coaster ride that knows exactly what it is doing As a crime drama  thriller I would happily compare it to No Country For Old Men While both films have have an ample supply of character drama and thrills Devil is more on the thriller side because of its fast pace No Country is a colder and bleaker film that you can really admire while Devil is a bit more enjoyable There is definitely less violence in Devil than No Country The acting delivers as well Ethan Hawke sometimes wooden in the past brings the jitters sweating and the deerintheheadlightslook to the besieged Hank Philip Seymour Hoffman as Andy has the films hardest scenes and is fast becoming the actor who you believe can do anything Theres really not much wrong with this film It jumps back and forth without being confusing Events spiral out of control but the film never does  the writing from first timer Kelly Masterson directing veteran Sidney Lumet and the editing stay as tight as a drum In many categories this is award caliber stuff though maybe films like The Departed and No Country squeezed this one out of the limelight If you liked those youll like this
1,If Saura hadnt done anything like this before Iberia would be a milestone Now it still deserves inclusion to honor a great director and a great cinematic conservator of Spanish culture but he has done a lot like this before and though we can applaud the riches he has given us we have to pick and choose favorites and high points among similar films which include Blood Wedding 1981 Carmen 1983 El Amore Brujo 1986 Sevillanas 1992 Salom̩ 2002 and Tango 1998 I would choose Sauras 1995 Flamenco as his most unique and potent cultural document next to which Iberia pales Iberia is conceived as a series of interpretations of the music of Isaac Manuel Francisco Alb̩niz 18601909 and in particular his Iberia suite for piano Isaac Alb̩niz was a great contributor to the externalization of Spanish musical culture  its reformatting for a nonSpanish audience He moved to France in his early thirties and was influenced by French composers His Iberia suite is an imaginative synthesis of Spanish folk music with the styles of Liszt Dukas and dIndy He traveled around performing his compositions which are a kind of beautiful standardization of Spanish rhythms and melodies not as homogenized as Ravels Bolero but moving in that direction Naturally the Spanish have repossessed Alb̩niz and in Iberia the performers reinterpret his compositions in terms of various more ethnic and regional dances and styles But the source is a tamed and diluted form of Spanish musical and dance culture compared to the echt Spanishness of pure flamenco Flamenco coming out of the region of Andalusia is a deeply felt amalgam of gitane HispanoArabic and Jewish cultures Iberia simply is the peninsula comprising Spain Portugal Andorra and Gibraltar the very concept is more diluted  Sauras Flamenco is an unstoppably intense ethnic mix of music singing dancing and that peacock manner of noble preening that is the essence of Spanish style the way a man and a woman carries himself or herself with pride verging on arrogance and elegance and panache  even bullfights and the moves of the torero are full of it  in a series of electric sequences without introduction or conclusion they just are Saura always emphasized the staginess of his collaborations with choreographer Antonio Gades and other artists In his 1995 Flamenco he dropped any pretense of a story and simply has singers musicians and dancers move on and off a big sound stage with nice lighting and screens flats and mirrors arranged by cinematographer Vittorio Storaro another of the Spanish filmmakers important collaborators The beginnings and endings of sequences in Flamenco are often rough but atmospheric marked only by the rumble and rustle of shuffling feet and a mixture of voices Sometimes the film keeps feeding when a performance is over and you see the dancer bend over sigh or laugh or somebody just unexpectedly says something In Flamenco more than any of Sauras other musical films its the rapt intense interaction of singers and dancers and rhythmically clapping participant observers shouting impulsive ol̩s that is the story and creates the magic Because Saura has truly made magic and perhaps best so when he dropped any sort of conventional story Iberia is in a similar style to some of Sauras purest musical films no narration no dialogue only brief titles to indicate the type of song or the region beginning with a pianist playing Albenizs music and gradually moving to a series of dance sequences and a little singing In flamenco music the fundamental element is the unaccompanied voice and that voice is the most unmistakable and unique contribution to world music It relates to other songs in other ethnicities but nothing quite equals its raw raucous unique uglybeautiful cry that defies you to do anything but listen to it with the closest attention Then comes the clapping and the foot stomping and then the dancing combined with the other elements There is only one flamenco song in Iberia If you love Sauras Flamenco youll want to see Iberia but youll be a bit disappointed The style is there some of the great voices and dancing and music are there But Iberias source and conception doom it to a lesser degree of power and make it a less rich and intense cultural experience
0,There is one really good scene in Faat Kine The title character gets in an argument with another woman and after being threatened Faat Kine sprays her in the face The scene works because the act is so unexpected bizarre and rather funny at the same time In that one instance writerdirector Ousmane Sembene gives the audience a character that is easy to root for an interesting film character that could be worth watching for two hours In the scene he presents a brave woman who is bold in her actions For the rest of the movie the only other thing he seems to present is conflicting tones  The tone is all over the place Its true not all movies have to clearly fit within a specific genre but I dont think Faat Kine fits into any genre Supposedly its a drama though there are moments of such broad comedy the aforementioned spraying in the face that it cannot be taken seriously On the other hand the film is certainly not a comedy with the abundant amount of serious topics Sembene has crammed into the picture There is a way to successfully mix comedy and drama together Unfortunately Semebene doesnt find that balance Instead one scene after another just drift into each other without much rhyme or reason leaving two different tones hanging in the wind  Faat Kine also has the problem of running two hours long with an extremely drawn out finale The film ends with a big party where all the characters conflicts are resolved only they arent resolved quickly The scene lasts longer than any other scene going on for probably twenty minutes Because the rest of the scenes up until this point have been meandering the finale is particularly hard to endure with repetition beginning early on in the scene making for a frustrating viewing experience Perhaps I am being too hard on Faat Kine I am not the right audience for it I felt nothing towards the characters and had no connection to any part of the story There are people who will probably find something meaningful in the story and see strong characters However I was unable to do so and thus cannot recommend it
1,I would say that this film gives an insight to the trauma that a young mind can face when a family is split by divorce or other disaster I would highly recommend this film especially to parents or individuals planning to have a family I found the characters to be appealing and highly sympathetic from a multitude of dimensions The scary monster although probably not scary to most adults has a very real hint of what the overactive imagination of a child who is facing unknown terrors might create I found the film to be delightful
1,Cry Freedom is a movie about how far people will go to find the truth The first half is an interesting portrayal of an unlikely friendship between activist Steve Biko and Editor Don Woods played fanatically by Dezel Washington and Kevin Klein While the second half deals with Woods looking for answers on Bikos death Although most people favor the first half of the movie which focuses on the unlikely friendship between Biko and Woods I found the second half about Don woods struggle to have Bikos story be heard around the world much more interesting
0,They said it would be a film greater than Turks Fruit How dare they Its not even 10 of this classic Bad acting The only character i felt sympathy for was the one played by Angela Schijf Her acting was the best in the whole film The story couldve been interesting but it wasnt Some scenes were very beautiful filmed lights and camera the opening scene for example but the bad acting made the magic disappear I really dont understand why so many people voted this film so good
1,I have to start off by apologizing because I thought the first 7580 of this film was hilarious Its mostly because of Brad Pitts performance Spot on The acting by all involved was quite good but Brad stole the movie The atmosphere was perfect in all respects Im not a giant Pitt fan but this has got to be one of his best roles ever BrutalHonestGritty All good words to describe this movie I was reading a previous review and the person said that the reasoning behind Earlys violence isnt explained It is explained but they thankfully dont have to go into graphic detail to get their point across Overall I gave this a 9 because every scene bar 1 or 2 was effective I think the humor in the first half or so is perfect for this movie Underrated
0,I find it amazing that so many people probably Poles have voted for this movie giving it such grades mostly tens OK the movie was fine funny but it was nothing special on the other hand The only good thing about Kiler is the dialogues rather not comprehensive for nonPoles Screenplay is primitive the acting except for Jerzy Stuhr as Ryba  awful Its too much ado about nothing  fortunately its not included in the top 250 PS The sequel Kilerow 2och 2 Kilers is on the way and its just the same story
0,Aside from a few good moments of fairly raw violence this painful film is most notable for making 68 minutes seem like two hours It starts with an interminably long intro where the Leeds family is introduced including two insufferable tykes and their adult brother and sister completely clich̩d Pa and Ma and incredibly annoying Grandpa played by Charles Chic Sales While sitting down to dinner the family is disturbed by the sounds of gunfire and rushes to the window in time to see two men gunned down by mobsters in the street The mobsters flee through the familys house leaving them as witnesses to the crime The rest of the movie consists of Walter Huston as the crusading DA occasionally interrupting long anticrime speeches to make half hearted attempts at trying to protect the family from the mob It all winds up in a predictable manner Good points about the movie include a couple of decent shootouts and a truly nasty beating Nat Pendleton as one of the mobsters and the gorgeous Sue Blane in a small role as the Leeds daughter  If you want to watch Huston play his early trademark crusading lawman try 1932s Beast of the City Avoid this one if at all possible
0,Movie There are some very interesting comments on IMDb about this movie Its truly awful Not enough money is spent on the movie and the way Spike Lee has made it it seems like a combination of an indie film and an action flick CharactersActors Denzel has done EXACTLY what he does in every movie so no surprise there Here is a little mind game for the readers Quickly think of 10 Denzel movies Now count how many of them were in which he played a copdetectivebody guard whatever Clive Owen hmmmmmm this guy needs a better role on his plate soon His best performance was I think in Beyond Borders Other than that he did pretty much the same thing as he does in every movie as well His tone and way of talking was very similar to what he did in Sin City Surely this guy knows acting what he doesnt know is better way of choosing roles He is in desperate need of a better agent Jodie Foster was brilliant in the movie if you are watching her for the first time in your life She has done better She has had better roles It so happens in Hollywood that even the biggest stars fall down on their knees and pick up low class roles as Jody Foster did in this movie Plot Plot was not confusing in fact I could think of such a plot in fact the whole movie while taking a dump after a nice big Chinese dinner I mean come on SPOILER ON THE WAY I am sick of the unnecessary Haulocast and the Racism token The movie is about bank robbers why put the Haulocast and the Racism in there nice try playing with peoples emotions worked on anyone NOT ME Police let the bank robbers go thinking they were hostages Riiiiiiight please were talking about US police force and security here Nobody could find out where Clive was I mean they didnt find anything different with that room Whore we kidding Conclusion Sure go watch this movie if nothing youll have a nice time talking to you friends how bad the movie was At least people wont think youre stupid to go watch this movie because theyd think you went to watch it because it has a big star cast MISTAKE
